GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,001,All firms,2002,771305,886801038,100.0,376090052,91150153,7243505
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,804,4 largest firms,2002,1901,34302205,3.9,10975556,2905935,167753
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,808,8 largest firms,2002,3102,56639167,6.4,19040244,4839660,284867
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,820,20 largest firms,2002,6027,98017327,11.1,35209381,8943965,613490
0100000US,,United States,54,"Professional, scientific, and technical services",A,All establishments,850,50 largest firms,2002,15215,143811855,16.2,51909473,13490809,985689
0100000US,,United States,54,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,001,All firms,2002,5789,20553805,100.0,8129955,1962944,160973
0100000US,,United States,54,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,804,4 largest firms,2002,166,3114271,15.2,1294970,307831,23690
0100000US,,United States,54,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,808,8 largest firms,2002,254,5152512,25.1,2309049,566021,37241
0100000US,,United States,54,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,820,20 largest firms,2002,348,8254031,40.2,3433803,833530,60044
0100000US,,United States,54,"Professional, scientific, and technical services",N,Establishments exempt from federal income tax,850,50 largest firms,2002,579,11949813,58.1,4680601,1130350,81546
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,001,All firms,2002,765516,866247233,100.0,367960097,89187209,7082532
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,804,4 largest firms,2002,1901,34302205,4.0,10975556,2905935,167753
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,808,8 largest firms,2002,3102,56639167,6.5,19040244,4839660,284867
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,820,20 largest firms,2002,6027,98017327,11.3,35209381,8943965,613490
0100000US,,United States,54,"Professional, scientific, and technical services",T,Establishments subject to federal income tax,850,50 largest firms,2002,15170,142698873,16.5,52115212,13566373,989291
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,001,All firms,2002,771305,886801038,100.0,376090052,91150153,7243505
0100000US,,United States,541,"Professional, scientific, and technical services",A,All establishments,804,4 largest firms,2002,1901,34302205,3.9,10975556,2905935,167753
