GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VALPCT,PAYANT,PAYQ1T,EMP
0100000US,,United States,62,Health care and social assistance,A,All establishments,001,All firms,2002,704526,1207299734,100.0,495845829,117558304,15052255
0100000US,,United States,62,Health care and social assistance,A,All establishments,804,4 largest firms,2002,1076,47492444,3.9,15140750,3709419,423241
0100000US,,United States,62,Health care and social assistance,A,All establishments,808,8 largest firms,2002,1486,65471636,5.4,21617129,5295558,582628
0100000US,,United States,62,Health care and social assistance,A,All establishments,820,20 largest firms,2002,3878,109246508,9.0,38239979,9471809,979578
0100000US,,United States,62,Health care and social assistance,A,All establishments,850,50 largest firms,2002,11010,177102029,14.7,64185131,15861507,1747001
0100000US,,United States,62,Health care and social assistance,N,Establishments exempt from federal income tax,001,All firms,2002,136478,617930865,100.0,254027235,62361804,8027333
0100000US,,United States,62,Health care and social assistance,N,Establishments exempt from federal income tax,804,4 largest firms,2002,419,22786602,3.7,8798045,2116010,224794
0100000US,,United States,62,Health care and social assistance,N,Establishments exempt from federal income tax,808,8 largest firms,2002,597,38940186,6.3,15316857,3753657,373703
0100000US,,United States,62,Health care and social assistance,N,Establishments exempt from federal income tax,820,20 largest firms,2002,1173,70592556,11.4,27187129,6647406,680417
0100000US,,United States,62,Health care and social assistance,N,Establishments exempt from federal income tax,850,50 largest firms,2002,1867,116375831,18.8,44510433,10840480,1118493
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,001,All firms,2002,568048,589368869,100.0,241818594,55196500,7024922
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,804,4 largest firms,2002,672,39881714,6.8,12014143,3062990,312161
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,808,8 largest firms,2002,2704,52744002,8.9,16823273,4235129,484796
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,820,20 largest firms,2002,7988,78383476,13.3,26346440,6600327,818520
0100000US,,United States,62,Health care and social assistance,T,Establishments subject to federal income tax,850,50 largest firms,2002,18619,101641962,17.2,34925866,8702473,1131846
0100000US,,United States,621,Ambulatory health care services,A,All establishments,001,All firms,2002,489021,488618528,100.0,203341237,45895264,4924908
0100000US,,United States,621,Ambulatory health care services,A,All establishments,804,4 largest firms,2002,266,13485006,2.8,5638284,1426163,104133
0100000US,,United States,621,Ambulatory health care services,A,All establishments,808,8 largest firms,2002,2942,21788742,4.5,7973024,2004461,166121
0100000US,,United States,621,Ambulatory health care services,A,All establishments,820,20 largest firms,2002,6791,34479467,7.1,12127716,3060643,274206
0100000US,,United States,621,Ambulatory health care services,A,All establishments,850,50 largest firms,2002,10779,48874479,10.0,17847301,4469020,407698
0100000US,,United States,621,Ambulatory health care services,N,Establishments exempt from federal income tax,001,All firms,2002,18074,49062356,100.0,21146778,5164782,692048
0100000US,,United States,621,Ambulatory health care services,N,Establishments exempt from federal income tax,804,4 largest firms,2002,205,5634139,11.5,2258073,530805,53432
0100000US,,United States,621,Ambulatory health care services,N,Establishments exempt from federal income tax,808,8 largest firms,2002,474,7505270,15.3,2965607,713950,69358
0100000US,,United States,621,Ambulatory health care services,N,Establishments exempt from federal income tax,820,20 largest firms,2002,733,10865601,22.1,4299287,1054023,95471
0100000US,,United States,621,Ambulatory health care services,N,Establishments exempt from federal income tax,850,50 largest firms,2002,1023,15085268,30.7,5613821,1368346,128514
0100000US,,United States,621,Ambulatory health care services,T,Establishments subject to federal income tax,001,All firms,2002,470947,439556172,100.0,182194459,40730482,4232860
0100000US,,United States,621,Ambulatory health care services,T,Establishments subject to federal income tax,804,4 largest firms,2002,928,13299727,3.0,4935214,1282000,95275
0100000US,,United States,621,Ambulatory health care services,T,Establishments subject to federal income tax,808,8 largest firms,2002,4001,20460022,4.7,6811796,1754675,152586
0100000US,,United States,621,Ambulatory health care services,T,Establishments subject to federal income tax,820,20 largest firms,2002,6779,29757820,6.8,10167430,2607524,239902
0100000US,,United States,621,Ambulatory health care services,T,Establishments subject to federal income tax,850,50 largest firms,2002,10753,41186046,9.4,14580470,3688029,337725
0100000US,,United States,6211,Offices of physicians,A,All establishments,001,All firms,2002,203118,248824594,100.0,112856035,24726758,1908760
0100000US,,United States,6211,Offices of physicians,A,All establishments,804,4 largest firms,2002,456,8404331,3.4,3541632,889656,62792
0100000US,,United States,6211,Offices of physicians,A,All establishments,808,8 largest firms,2002,906,10740257,4.3,4453213,1113689,80090
0100000US,,United States,6211,Offices of physicians,A,All establishments,820,20 largest firms,2002,1640,15323980,6.2,6437056,1598464,106812
0100000US,,United States,6211,Offices of physicians,A,All establishments,850,50 largest firms,2002,2738,22376094,9.0,9237091,2267666,151087
