GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,81,Other services (except public administration),A,All establishments,001,All firms,2002,537576,307049461,100.0,82954939,20132941,3475310
0100000US,,United States,81,Other services (except public administration),A,All establishments,804,4 largest firms,2002,5919,D,D,D,D,l
0100000US,,United States,81,Other services (except public administration),A,All establishments,808,8 largest firms,2002,7074,D,D,D,D,m
0100000US,,United States,81,Other services (except public administration),A,All establishments,820,20 largest firms,2002,15897,21823421,7.1,4643697,1147635,199320
0100000US,,United States,81,Other services (except public administration),A,All establishments,850,50 largest firms,2002,20095,34315220,11.2,6914066,1729094,286530
0100000US,,United States,81,Other services (except public administration),N,Establishments exempt from federal income tax,001,All firms,2002,105514,116523311,100.0,24928801,6068425,893399
0100000US,,United States,81,Other services (except public administration),N,Establishments exempt from federal income tax,804,4 largest firms,2002,6,4507716,3.9,33521,7947,513
0100000US,,United States,81,Other services (except public administration),N,Establishments exempt from federal income tax,808,8 largest firms,2002,414,7149025,6.1,621475,164713,12682
0100000US,,United States,81,Other services (except public administration),N,Establishments exempt from federal income tax,820,20 largest firms,2002,704,11863295,10.2,872638,225456,17804
0100000US,,United States,81,Other services (except public administration),N,Establishments exempt from federal income tax,850,50 largest firms,2002,1280,18116676,15.5,1658764,411727,34151
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,001,All firms,2002,432062,190526150,100.0,58026138,14064516,2581911
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,804,4 largest firms,2002,5919,7539573,4.0,1911523,470510,82581
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,808,8 largest firms,2002,11605,11649364,6.1,3026741,756484,131936
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,820,20 largest firms,2002,17751,19119435,10.0,5003506,1237754,230072
0100000US,,United States,81,Other services (except public administration),T,Establishments subject to federal income tax,850,50 largest firms,2002,22424,26660975,14.0,7172744,1781093,310574
0100000US,,United States,811,Repair and maintenance,A,All establishments,001,All firms,2002,231043,118305746,100.0,35117838,8547775,1285371
0100000US,,United States,811,Repair and maintenance,A,All establishments,804,4 largest firms,2002,1677,4448874,3.8,1319330,323199,36630
0100000US,,United States,811,Repair and maintenance,A,All establishments,808,8 largest firms,2002,1961,6134621,5.2,1885636,477874,48771
0100000US,,United States,811,Repair and maintenance,A,All establishments,820,20 largest firms,2002,3956,8836823,7.5,2468462,620746,69888
0100000US,,United States,811,Repair and maintenance,A,All establishments,850,50 largest firms,2002,5372,12434315,10.5,3657784,926381,100885
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2002,231043,118305746,100.0,35117838,8547775,1285371
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2002,1677,4448874,3.8,1319330,323199,36630
0100000US,,United States,811,Repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2002,1961,6134621,5.2,1885636,477874,48771
